,Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Unnamed: 8,Price.1,Commission,Taxes,Swap,Profit
1,1043836728,2023.04.21 11:00:29,buy,1.0,eurusd,1.05432,0.0,0.0,,1.09437,0.0,0.0,0,101.0
2,1043570911,2023.04.21 01:25:21,buy,1.0,eurusd,1.09676,0.0,0.0,,1.09894,0.0,0.0,0,218.0
4,1043586464,2023.04.21 02:25:23,buy,1.0,eurusd,1.09622,0.0,0.0,,1.09894,0.0,0.0,0,272.0
6,1043603061,2023.04.21 03:25:23,buy,1.0,eurusd,1.09723,0.0,0.0,,1.09894,0.0,0.0,0,171.0
9,1043634124,2023.04.21 05:06:38,buy,1.0,eurusd,1.09654,0.0,0.0,,1.09894,0.0,0.0,0,240.0
11,1043652640,2023.04.21 06:06:39,buy,1.0,eurusd,1.09633,0.0,0.0,,1.09894,0.0,0.0,0,261.0
12,1043750188,2023.04.21 09:00:27,buy,1.0,eurusd,1.09421,0.0,0.0,,1.09894,0.0,0.0,0,473.0
14,1043795241,2023.04.21 10:00:28,buy,1.0,eurusd,1.09567,0.0,0.0,,1.09894,0.0,0.0,0,327.0
16,1043836728,2023.04.21 11:00:29,buy,1.0,eurusd,1.09593,0.0,0.0,,1.09894,0.0,0.0,0,301.0
